[02/10/2025 13:12:03 - INFO] Discord Presence activated
[02/10/2025 13:12:03 - INFO] Creating discord-rpc client
[02/10/2025 13:12:03 - INFO] Successfully connected to Discord
[02/10/2025 13:12:03 - DEBUG] Loading git extension
[02/10/2025 13:12:03 - TRACE] Git extension not activated, activating...
[02/10/2025 13:12:03 - DEBUG] Loading git extension
[02/10/2025 13:12:03 - TRACE] Git extension not activated, activating...
[02/10/2025 13:12:03 - TRACE] VSCode language id: properties
[02/10/2025 13:12:08 - TRACE] VSCode language id: properties
[02/10/2025 13:12:14 - TRACE] VSCode language id: properties
[02/10/2025 13:12:16 - TRACE] VSCode language id: properties
[02/10/2025 13:12:21 - TRACE] VSCode language id: properties
[02/10/2025 13:12:23 - TRACE] VSCode language id: properties
[02/10/2025 13:12:25 - TRACE] VSCode language id: properties
[02/10/2025 13:12:33 - TRACE] VSCode language id: properties
[02/10/2025 13:12:35 - TRACE] VSCode language id: properties
[02/10/2025 13:12:39 - TRACE] VSCode language id: properties
[02/10/2025 13:12:41 - TRACE] VSCode language id: properties
[02/10/2025 13:12:43 - TRACE] VSCode language id: properties
[02/10/2025 13:15:15 - TRACE] VSCode language id: properties
[02/10/2025 13:15:17 - TRACE] VSCode language id: properties
[02/10/2025 13:15:40 - TRACE] VSCode language id: properties
[02/10/2025 13:15:42 - TRACE] VSCode language id: properties
[02/10/2025 13:16:55 - TRACE] VSCode language id: properties
[02/10/2025 13:16:57 - TRACE] VSCode language id: properties
[02/10/2025 13:17:00 - TRACE] VSCode language id: properties
[02/10/2025 13:17:04 - TRACE] VSCode language id: properties
[02/10/2025 13:17:06 - TRACE] VSCode language id: properties
[02/10/2025 13:17:13 - TRACE] VSCode language id: properties
[02/10/2025 13:17:15 - TRACE] VSCode language id: properties
[02/10/2025 13:18:13 - TRACE] VSCode language id: properties
[02/10/2025 13:18:15 - TRACE] VSCode language id: properties
[02/10/2025 13:18:17 - TRACE] VSCode language id: properties
[02/10/2025 13:18:19 - TRACE] VSCode language id: properties
[02/10/2025 13:18:22 - TRACE] VSCode language id: properties
[02/10/2025 13:18:24 - TRACE] VSCode language id: properties
[02/10/2025 13:18:26 - TRACE] VSCode language id: properties
[02/10/2025 13:18:29 - TRACE] VSCode language id: properties
[02/10/2025 13:18:31 - TRACE] VSCode language id: properties
[02/10/2025 13:18:33 - TRACE] VSCode language id: properties
[02/10/2025 13:18:37 - TRACE] VSCode language id: properties
[02/10/2025 13:18:39 - TRACE] VSCode language id: properties
[02/10/2025 13:18:41 - TRACE] VSCode language id: properties
[02/10/2025 13:18:57 - TRACE] VSCode language id: properties
[02/10/2025 13:18:59 - TRACE] VSCode language id: properties
[02/10/2025 13:19:11 - TRACE] VSCode language id: properties
